"","name","aci","h","m","ndsi","q","adi","aei","bi"
"x67","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc591117_start_0_45.wav",226.240345535885,0.806513297438838,0.00445183361871735,0.713360633236344,1.02370634718328,2.06402,0.376997,10.864309158907
"x68","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc591117_start_1_0.wav",210.812423125537,0.817791968020974,0.00378798566588142,0.505209940058241,39.8750214004452,2.072314,0.36995,10.3318874036518
"x69","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc591117_start_1_15.wav",205.173424322712,0.811778294541956,0.00362004938758366,0.882200999672358,7.06709194896612,2.057683,0.378699,13.2107210707076
"x70","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc591117_start_1_30.wav",188.717038675162,0.812673831226471,0.00316551194989708,0.624549710798114,2.91072722879923,1.870441,0.489613,13.4724229923905
"x71","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc591117_start_1_45.wav",192.879572341986,0.797381208988653,0.00485164304438549,0.85443743900076,55.219166490374,1.902486,0.48082,13.6987264234439
"x72","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc591117_start_2_0.wav",197.838845967743,0.811208851249712,0.00306425239719782,0.725285969915308,9.70195475510654,1.7864,0.517438,14.099967072316
"x73","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc591117_start_2_15.wav",199.736667423148,0.768055080255303,0.00325939929042508,0.825704791501306,30.7837922403004,1.975721,0.421269,17.0558020863506
"x74","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc591117_start_2_30.wav",185.590012489068,0.786605311339867,0.0023140719103452,0.909402879813646,1.19899977606927,1.935948,0.459235,9.65828948249046
"x75","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc591117_start_2_45.wav",180.866767267274,0.81687657124557,0.00253856514181074,0.754820536896804,5.27953985209531,1.8656,0.494051,12.3222710542793
"x76","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc591117_start_3_0.wav",194.708955809681,0.813677092586526,0.00334091279725739,0.677845716067641,1.92845138055222,1.968995,0.440698,13.1093828858769
"x77","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc591117_start_3_15.wav",179.667686502392,0.813880541676851,0.00473841846595745,0.51350580238313,47.9055103200148,1.921467,0.470921,13.1164242892082
"x78","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc591117_start_3_30.wav",198.147027985957,0.81347471559938,0.00405317478180273,0.580100395883503,3.5195943408038,1.893135,0.491296,14.9454999597104
"x79","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc591117_start_3_45.wav",197.416463876126,0.804101517339965,0.00398337760878105,0.737046337409231,6.18521370812476,1.945961,0.453377,11.5208435915495
"x80","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc591117_start_4_0.wav",189.079290361513,0.819686076566424,0.00316019216125748,0.678922814891824,4.44794303797468,1.917262,0.473006,13.351661285599
"x81","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc591117_start_4_15.wav",194.037429346101,0.812152354367766,0.00398843814442462,0.706437865149366,6.44861313868613,1.86429,0.499075,14.6669282139766
"x82","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc591117_start_4_30.wav",199.360462927146,0.819850450757749,0.00285523393554534,0.831161443762364,41.1712928232058,2.02481,0.39948,11.9257120599065
"x83","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc591117_start_4_45.wav",182.681118878007,0.805428902663218,0.00319506235046819,0.578838215892026,55.4682067158845,1.923845,0.452661,12.4753643228643
"x84","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc591117_start_5_0.wav",200.461162975258,0.832205800015446,0.00317355954289705,0.690624005693308,2.55108523028057,2.029492,0.390314,8.94074064648814
"x85","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc591117_start_5_15.wav",223.124363056104,0.813210119656467,0.00247054437850924,0.290327752056695,1.86511411889597,2.09035,0.350848,13.1457647624171
"x86","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc591117_start_5_30.wav",232.072547053293,0.818088922854026,0.00306630034803239,0.377697618417066,3.87938172784985,2.084373,0.360694,11.7401419710186
"x87","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc591117_start_5_45.wav",244.499852566421,0.796340346340681,0.00447547605353856,0.246198931853526,1.71093833209074,2.165027,0.289053,13.1209259541163
"x88","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc591118_start_0_0.wav",195.350779803369,0.849406664931283,0.0102430513881217,0.46700647514447,14.2352002835874,2.129877,0.313874,7.62970129760576
"x89","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc591118_start_0_15.wav",221.334300167117,0.807080418330035,0.00965868283407576,0.631296942273791,48.1402597402596,2.006049,0.426035,10.757452107927
"x90","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc591118_start_0_30.wav",194.984459753427,0.794386903282858,0.00602239855318427,0.519300164322407,35.1149975251608,1.849375,0.516569,12.2437813656223
"x91","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc591118_start_0_45.wav",191.240746212782,0.818878520378887,0.0051875510302994,0.785487698451112,1.18466076696165,2.082261,0.349137,11.5150145864142
"x92","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc591118_start_1_0.wav",188.842029678893,0.774525557889494,0.0126060740593588,0.653254291291343,40.2633371169128,1.909999,0.476019,12.4733541758922
"x93","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc591118_start_1_15.wav",177.87404656103,0.775678161616661,0.00532984993361707,0.728654408352566,17.0012701100762,2.06006,0.380571,12.4037688930725
"x94","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc591118_start_1_30.wav",195.601913301799,0.778965638247338,0.00522443436061445,0.96751649889673,26.5017897091723,2.075489,0.362494,10.3497072135768
"x95","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc591118_start_1_45.wav",231.191550615993,0.803961215246379,0.00397569412968793,0.768324571334513,1.17167444574096,2.079519,0.367726,10.0662604980725
